Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,Int,Sk,College/Univ,
228,2013,6,193,Nate Palmer\PalmNa01,LB,23,GNB,2013,2017,0,0,1,9,48,12,,1.0,Illinois St.,
229,2013,6,206,Vince Williams\WillVi01,LB,23,PIT,2013,2019,0,0,4,30,107,55,2,17.5,Florida St.,College Stats
230,2013,7,213,Michael Mauti\MautMi00,LB,23,MIN,2013,2017,0,0,0,5,58,4,,1.0,Penn St.,College Stats
231,2013,7,232,Sam Barrington\BarrSa00,LB,22,GNB,2013,2016,0,0,1,4,29,8,,1.0,South Florida,College Stats
232,2013,7,235,Steve Beauharnais\BeauSt00,LB,23,NWE,2013,2014,0,0,0,0,5,0,,,Rutgers,College Stats
233,2013,7,245,Brandon Hepburn\HepbBr00,LB,23,DET,2014,2014,0,0,0,0,0,,,,Florida A&M,
234,2012,1,9,Luke Kuechly\KuecLu00,LB,21,CAR,2012,2019,5,7,8,91,118,118,18,12.5,Boston Col.,College Stats
235,2012,1,25,Dont'a Hightower\HighDo01,LB,22,NWE,2012,2019,0,2,7,61,102,99,1,25.5,Alabama,College Stats
236,2012,2,35,Courtney Upshaw\UpshCo00,LB,22,BAL,2012,2017,0,0,3,25,90,56,,7.0,Alabama,College Stats
237,2012,2,38,Andre Branch\BranAn00,LB,23,JAX,2012,2018,0,0,3,21,95,39,,25.5,Clemson,College Stats
238,2012,2,46,Mychal Kendricks\KendMy00,LB,21,PHI,2012,2019,0,0,7,38,103,91,4,19.0,California,College Stats
239,2012,2,47,Bobby Wagner\WagnBo00,LB,22,SEA,2012,2019,5,6,8,95,119,118,10,19.5,Utah St.,College Stats
240,2012,2,52,Zach Brown\BrowZa00,LB,22,TEN,2012,2019,0,1,5,40,100,80,7,17.5,North Carolina,College Stats
241,2012,2,58,Lavonte David\DaviLa00,LB,22,TAM,2012,2019,1,1,8,63,121,121,11,22.5,Nebraska,College Stats
242,2012,3,72,Olivier Vernon\VernOl00,LB,21,MIA,2012,2019,0,1,7,50,113,95,1,54.5,Miami (FL),College Stats
243,2012,3,77,Demario Davis\DaviDe00,LB,23,NYJ,2012,2019,1,0,7,57,128,114,2,22.5,Arkansas St.,College Stats
244,2012,3,86,Sean Spence\SpenSe00,LB,22,PIT,2012,2017,0,0,1,12,53,23,,6.0,Miami (FL),College Stats
245,2012,4,105,Nigel Bradham\BradNi00,LB,23,BUF,2012,2019,0,0,7,43,115,96,3,8.5,Florida St.,College Stats
246,2012,4,113,Kyle Wilber\WilbKy00,LB,23,DAL,2012,2019,0,0,1,13,117,17,,3.5,Wake Forest,College Stats
247,2012,4,119,Keenan Robinson\RobiKe01,LB,23,WAS,2012,2017,0,0,2,18,58,30,2,1.5,Texas,College Stats
248,2012,4,120,James-Michael Johnson\JohnJa04,LB,23,CLE,2012,2015,0,0,2,11,47,18,,1.0,Nevada,College Stats
249,2012,4,125,Ronnell Lewis\LewiRo02,LB,21,DET,2012,2012,0,0,0,0,8,0,,,Oklahoma,College Stats
250,2012,4,129,Miles Burris\BurrMi00,LB,24,OAK,2012,2014,0,0,2,14,38,31,1,1.5,San Diego St.,College Stats
251,2012,5,138,Tahir Whitehead\WhitTa00,LB,22,DET,2012,2019,0,0,6,38,125,87,5,3.0,Temple,College Stats
252,2012,5,140,Najee Goode\GoodNa00,LB,23,TAM,2012,2019,0,0,0,10,90,8,1,2.0,West Virginia,College Stats
253,2012,5,142,Brandon Marshall\MarsBr01,LB,22,JAX,2012,2018,0,0,4,30,74,63,2,6.5,Nevada,College Stats
254,2012,5,147,Tank Carder\CardTa00,LB,23,BUF,2012,2016,0,0,0,5,78,2,,,TCU,College Stats
255,2012,5,154,Korey Toomer\ToomKo00,LB,23,SEA,2014,2018,0,0,0,11,53,16,1,2.0,Idaho,College Stats
256,2012,5,155,Josh Kaddu\KaddJo00,LB,22,MIA,2012,2014,0,0,0,0,6,0,,,Oregon,College Stats
257,2012,5,163,Terrell Manning\MannTe00,LB,22,GNB,2012,2014,0,0,0,0,11,0,,,North Carolina St.,College Stats
258,2012,5,165,Darius Fleming\FlemDa00,LB,23,SFO,2012,2015,0,0,0,1,11,0,,,Notre Dame,College Stats
259,2012,6,188,Danny Trevathan\TrevDa00,LB,22,DEN,2012,2019,0,0,6,42,96,77,8,9.0,Kentucky,College Stats
260,2012,6,204,Emmanuel Acho\AchoEm00,LB,21,CLE,2012,2014,0,0,0,2,20,2,,,Texas,College Stats
261,2012,7,209,Aaron Brown\BrowAa01,LB,,STL,,,0,0,0,,,,,,Hawaii,College Stats
262,2012,7,210,Audie Cole\ColeAu00,LB,23,MIN,2012,2016,0,0,0,6,57,7,,1.0,North Carolina St.,College Stats
263,2012,7,222,Caleb McSurdy\McSuCa00,LB,22,DAL,2012,2012,0,0,0,0,,,,,Montana,
264,2012,7,223,Travis Lewis\LewiTr00,LB,24,DET,2012,2015,0,0,0,4,42,4,,1.0,Oklahoma,College Stats
265,2012,7,230,Nathan Stupar\StupNa01,LB,24,OAK,2012,2019,0,0,1,9,82,11,1,2.0,Penn St.,College Stats
266,2011,1,2,Von Miller\MillVo00,LB,22,DEN,2011,2019,3,8,9,98,135,135,2,106.0,Texas A&M,College Stats
267,2011,2,39,Akeem Ayers\AyerAk00,LB,22,TEN,2011,2017,0,0,4,29,97,58,4,15.5,UCLA,College Stats
268,2011,2,40,Bruce Carter\CartBr00,LB,23,DAL,2011,2018,0,0,3,19,101,36,5,5.0,North Carolina,College Stats
269,2011,2,42,Brooks Reed\ReedBr00,LB,24,HOU,2011,2019,0,0,6,37,129,86,1,22.5,Arizona,College Stats
270,2011,2,61,Jonas Mouton\MoutJo00,LB,23,SDG,2012,2012,0,0,0,0,3,0,,,Michigan,College Stats
271,2011,3,66,Dontay Moch\MochDo00,LB,23,CIN,2012,2014,0,0,0,0,8,0,,1.0,Nevada,College Stats
272,2011,3,67,Nate Irving\IrviNa00,LB,23,DEN,2011,2015,0,0,1,9,62,14,,3.0,North Carolina St.,College Stats
273,2011,3,68,Kelvin Sheppard\ShepKe00,LB,23,BUF,2011,2018,0,0,4,26,107,64,2,3.0,LSU,College Stats
274,2011,3,70,Justin Houston\HousJu00,LB,22,KAN,2011,2019,1,4,8,63,118,112,4,89.5,Georgia,College Stats
275,2011,3,72,Martez Wilson\WilsMa01,LB,22,NOR,2011,2013,0,0,0,3,38,1,,5.0,Illinois,College Stats
276,2011,3,84,Mason Foster\FostMa00,LB,22,TAM,2011,2018,0,0,6,39,107,92,8,8.5,Washington,College Stats
277,2011,3,91,Akeem Dent\DentAk00,LB,23,ATL,2011,2016,0,0,2,17,90,32,,2.5,Georgia,College Stats
278,2011,4,99,K.J. Wright\WrigK.00,LB,22,SEA,2011,2019,0,1,9,60,128,124,5,11.5,Mississippi St.,College Stats
279,2011,4,109,Colin McCarthy\McCaCo00,LB,22,TEN,2011,2014,0,0,1,11,36,19,3,,Miami (FL),College Stats
280,2011,4,116,Casey Matthews\MattCa00,LB,22,PHI,2011,2014,0,0,1,10,64,16,,2.5,Oregon,College Stats
281,2011,5,140,Gabe Miller\MillGa00,LB,23,KAN,2012,2014,0,0,0,0,7,0,,,Oregon St.,College Stats
282,2011,5,157,Doug Hogue\HoguDo01,LB,22,DET,2011,2012,0,0,0,2,27,0,,,Syracuse,College Stats
283,2011,5,162,Chris Carter\CartCh00,LB,22,PIT,2011,2017,0,0,0,6,75,4,,,Fresno St.,College Stats
284,2011,6,166,Lawrence Wilson\WilsLa01,LB,23,CAR,,,0,0,0,,,,,,Central Connecticut St.,College Stats
285,2011,6,169,Chris White\WhitCh03,LB,22,BUF,2011,2014,0,0,0,4,51,0,,,Mississippi St.,College Stats
286,2011,6,171,Quan Sturdivant\SturQu00,LB,22,ARI,2012,2012,0,0,0,0,,,,,North Carolina,College Stats
