Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,Int,Sk,College/Univ,
78,2016,3,96,Vincent Valentine\ValeVi00,DT,22,NWE,2016,2018,0,0,0,3,16,2,,1.0,Nebraska,College Stats
79,2016,4,103,Sheldon Day\DayxSh00,DT,22,JAX,2016,2019,0,0,0,6,56,2,,6.0,Notre Dame,College Stats
80,2016,4,116,Hassan Ridgeway\RidgHa00,DT,21,IND,2016,2019,0,0,0,8,41,11,,6.5,Texas,College Stats
81,2016,4,120,David Onyemata\OnyeDa00,DT,23,NOR,2016,2019,0,0,1,13,63,25,,9.5,Manitoba,
82,2016,4,122,Andrew Billings\BillAn00,NT,21,CIN,2017,2019,0,0,2,14,47,37,,3.5,Baylor,College Stats
83,2016,4,132,Willie Henry\HenrWi00,DT,22,BAL,2017,2018,0,0,0,4,17,3,,4.5,Michigan,College Stats
84,2016,5,147,Quinton Jefferson\JeffQu00,DT,23,SEA,2016,2019,0,0,1,12,39,24,,7.5,Maryland,College Stats
85,2016,5,152,Matthew Ioannidis\IoanMa01,DT,22,WAS,2016,2019,0,0,2,17,54,34,,20.5,Temple,College Stats
86,2016,5,166,D.J. Reader\ReadD.00,NT,22,HOU,2016,2019,0,0,2,23,61,52,,6.5,Clemson,College Stats
87,2016,6,202,Anthony Zettel\ZettAn00,DT,24,DET,2016,2019,0,0,1,10,49,16,,7.5,Penn St.,College Stats
88,2015,1,12,Danny Shelton\ShelDa01,NT,22,CLE,2015,2019,0,0,4,29,75,59,,4.5,Washington,College Stats
89,2015,1,17,Arik Armstead\ArmsAr01,DT,21,SFO,2015,2019,0,0,3,20,62,43,,19.0,Oregon,College Stats
90,2015,1,32,Malcom Brown\BrowMa01,DT,21,NWE,2015,2019,0,0,4,33,76,67,,10.5,Texas,College Stats
91,2015,2,35,Mario Edwards\EdwaMa01,DT,21,OAK,2015,2019,0,0,1,13,59,24,,10.5,Florida St.,College Stats
92,2015,2,39,Eddie Goldman\GoldEd00,DT,21,CHI,2015,2019,0,0,4,30,67,63,,12.5,Florida St.,College Stats
93,2015,2,52,Jordan Phillips\PhilJo01,NT,22,MIA,2015,2019,0,0,3,21,76,35,1,15.0,Oklahoma,College Stats
94,2015,3,90,Carl Davis\DaviCa01,DT,23,BAL,2015,2019,0,0,1,7,36,12,,0.5,Iowa,College Stats
95,2015,3,96,Xavier Cooper\CoopXa00,DT,23,CLE,2015,2017,0,0,0,4,40,2,,3.0,Washington St.,College Stats
96,2015,4,100,Angelo Blackson\BlacAn00,DT,22,TEN,2015,2019,0,0,1,13,69,22,,3.5,Auburn,College Stats
97,2015,4,113,Gabe Wright\WrigGa00,DT,23,DET,2015,2018,0,0,0,1,15,1,,,Auburn,College Stats
98,2015,4,116,Rodney Gunter\GuntRo00,DT,23,ARI,2015,2019,0,0,3,20,77,38,,11.0,Delaware St.,
99,2015,5,137,Grady Jarrett\JarrGr00,NT,22,ATL,2015,2019,0,1,4,32,77,62,,21.5,Clemson,College Stats
100,2015,5,151,David Parry\ParrDa00,NT,23,IND,2015,2018,0,0,2,13,36,32,,5.0,Stanford,College Stats
101,2015,5,154,Tyeler Davison\DaviTy01,DT,22,NOR,2015,2019,0,0,4,23,77,60,,4.5,Fresno St.,College Stats
102,2015,6,180,Michael Bennett\BennMi01,DT,22,JAX,2015,2018,0,0,0,1,16,0,,0.5,Ohio St.,College Stats
